Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c),  Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c),  Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), DOCA (cm), Invariant Mass (GeV/c^2), Good Reco, Event Type
42.4047744292, 0.885992688042, 0.0208937012393, 0.00850778431398, 28.310854576, 34.7262230849, 0.672529301728, 0.0193666123749, 7.66121546274, 0.21338182702, 0.0278522158864, -1267.89927472, 64.2038047981, -75.4970443056, 1.2472093859, 0.308397111085, 1, 1
16.7752552574, 0.20908729808, 0.0124640307925, 0.0890055393445, 28.5077699551, 15.1982895707, 0.305023809183, 0.0200696142658, 1.58266704851, 0.111270174241, 0.0703054848749, -1244.16978578, -73.063382556, 64.8561932196, 0.274859440882, 0.566565473796, 1, 1
21.1128489795, 0.900225809725, 0.0426387651709, 0.0211889530646, 70.051905293, 3.02143643819, 0.131289273096, 0.0434526013644, 18.0820175433, 0.780728883288, 0.0431770891396, -1503.00085028, -45.6910477361, 238.998504174, 2.63600990925, 0.34062114551, 1, 1
40.0971274737, 0.274414298896, 0.00684373959396, 0.021212243777, 24.359164053, 24.2244225109, 0.0377300866941, 0.00155752264794, 15.9641071511, 0.313794478697, 0.019656249844, -1461.85858644, 49.0875060478, 4.03105943565, 0.508254445453, 0.47052282882, 1, 1
8.43313452079, 0.370049792928, 0.043880456551, 0.0383262741745, 268.679127928, 4.50651526798, 0.182265318268, 0.0404448465011, 3.92668623965, 0.216551651181, 0.0551487024847, 1753.70724911, -40.2268977443, 132.086320673, 0.267641427045, 0.266509454764, 1, 1
22.5846185812, 0.425988230948, 0.0188618740412, 0.066007957167, 8.83170350504, 19.2230698593, 0.500975502294, 0.026061160156, 3.3663387513, 0.158301615587, 0.0470248621074, -684.586763333, 29.010738322, 119.189845112, 0.333912958952, 0.608410379794, 1, 1
41.588029231, 0.760392807982, 0.0182839346332, 0.00918557959923, 45.8466262914, 6.05575468772, 0.0638468580171, 0.0105431711338, 35.5486508165, 0.697208156899, 0.0196127881336, 839.293718779, 53.4524330743, -143.557241724, 0.712176879917, 0.329102949079, 1, 1
13.3240537903, 0.676759954109, 0.0507923462904, 0.055641056111, 152.631320559, 5.80675517477, 0.178071379912, 0.0306662455283, 7.52260334247, 0.541918880671, 0.0720387419088, 2141.36002463, 94.3906723517, 313.926097027, 0.0996250401944, 0.424840234229, 1, 1
63.0058885572, 1.50121892203, 0.0238266447217, 0.02093280549, 2.71137984939, 40.2036672029, 1.09769361069, 0.0273033204943, 22.7892781272, 0.526635403673, 0.0231089111614, 270.961555148, -106.830099417, 139.902324926, 0.245795062459, 0.672073179486, 1, 1
14.4202808939, 0.55494551831, 0.0384836829735, 0.0342939381915, 64.4590938929, 4.62779763831, 0.237081663414, 0.0512299114922, 9.80658891424, 0.356079336271, 0.036310213407, 2505.02218292, -202.111938443, -386.260123644, 0.242532532034, 0.321455890005, 1, 1
22.1862546172, 0.637088845725, 0.0287154752669, 0.054610306423, 28.4740434998, 4.25183352042, 0.0774718936801, 0.0182208201022, 17.9407317448, 0.697554083307, 0.0388810274425, -1100.06964613, -81.406298938, -127.79051757, 0.717025035872, 0.546579716394, 1, 1
104.152846809, 0.339291639054, 0.00325763192701, 0.00938112954045, 13.923659661, 12.1612347606, 0.0773296420001, 0.00635869987897, 92.5892304429, 0.382106267134, 0.00412689753772, 237.782181045, -16.4718477442, -25.7534280428, 0.504752535537, 0.45242185689, 1, 1
29.0024073697, 0.500804595012, 0.0172676905275, 0.0506411714517, 32.9834564668, 3.46100783077, 0.154518492797, 0.0446455195574, 25.5461693325, 0.494292200975, 0.0193489753607, 2155.87849845, 169.688825468, 59.2736707846, 0.0338372708642, 0.57706130611, 1, 1
53.3833962548, 0.393838173292, 0.00737754060106, 0.00904060765043, 33.8228398762, 25.8270833633, 0.256187593182, 0.00991933891948, 27.5501159972, 0.200047818367, 0.00726123325172, -456.372481495, 57.6188985704, -36.0177517789, 1.24570079911, 0.322171381085, 1, 1
41.2258909649, 0.416786726595, 0.0101098294504, 0.0317882657967, 19.321761598, 7.59084306299, 0.252435167054, 0.0332552214502, 33.6136697108, 0.264289977628, 0.00786257436042, 792.43512999, -94.6717876007, -33.320543993, 0.279737311607, 0.575270863426, 1, 1
35.2649648355, 0.404683306079, 0.0114755057312, 0.0320656405977, 35.4518944918, 31.5311659895, 0.30709081458, 0.00973927874038, 3.74597230032, 0.138026359131, 0.0368466043165, 1947.22560958, -48.7930186594, -130.790022932, 0.14246883608, 0.488132904261, 1, 1
5.97700010904, 0.195888889735, 0.0327737805189, 0.0653353811786, 161.586574224, 1.81898239732, 0.130133223452, 0.0715417717313, 4.16054863235, 0.101810796886, 0.024470522011, 1121.07768446, 84.4673980811, -86.7169647593, 0.41982627006, 0.291628047226, 1, 1
9.94094855092, 0.358792853089, 0.036092416257, 0.0197887006376, 193.586181869, 5.40501864699, 0.243976239232, 0.0451388339554, 4.55556777883, 0.11556378719, 0.0253675925375, 537.950054931, -113.157909098, 1.15169679152, 1.31442029216, 0.233398377236, 1, 1
8.21937634357, 0.173169547968, 0.0210684534603, 0.104879413773, 43.7676192062, 3.04606303143, 0.150906132299, 0.049541368889, 5.18144475143, 0.29900806825, 0.057707470135, 1230.8228615, -115.530781873, -146.233710019, 1.43783466754, 0.470385566658, 1, 1
75.2239078821, 0.623364259392, 0.00828678377583, 0.0156782481251, 2.34099392462, 43.6267365641, 0.648283288817, 0.014859770404, 31.581927114, 0.026255829712, 0.000831356161933, 1105.8056517, 63.5487044831, 24.2414593679, 0.0525778849391, 0.621233555159, 1, 1
