Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c),  Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c),  Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), DOCA (cm), Invariant Mass (GeV/c^2), Good Reco, Event Type
13.6226911822, 0.648875651666, 0.0476319724927, 0.0813461792542, 221.170590242, 12.2206272632, 0.679899622748, 0.0556354111868, 1.40482293849, 0.0437020553145, 0.0311085860838, -2106.60866432, -32.9357756749, 7.23030913602, 10.8161910874, 0.495324328565, 0, 4
13.1993319748, 0.458330617392, 0.0347237737687, 0.0712645447683, 66.402761841, 5.44196340075, 0.0551735878225, 0.0101385444479, 7.49076494191, 0.474148347231, 0.0632977207145, -2307.60999589, -69.9479442756, -83.0692197082, 19.2140031325, 0.505873785207, 0, 4
28.1431306604, 1.09548547534, 0.0389255015214, 0.105093687515, 192.027864788, 27.4886679588, 1.10045627145, 0.0400330882931, 0.663112071657, 0.0625073365018, 0.0942636081795, 257.100274476, 77.6639396568, 72.7184913114, 8.16421340075, 0.832341725234, 0, 4
17.946398985, 0.0896470175414, 0.004995264934, 0.0305807835596, 86.6495254533, 4.17087765514, 0.110043022349, 0.0263836610537, 13.7175808898, 0.0836045683031, 0.00609470204512, -2475.46637747, -23.9343030429, 86.3938255835, 4.17497812393, 0.389686615688, 0, 4
21.9817779359, 0.416496528306, 0.0189473540093, 0.0417070105974, 84.480899708, 4.59285987584, 0.237549677605, 0.0517215164465, 17.3477457043, 0.231129937002, 0.0133233413114, -2001.4321697, 5.26897557335, -21.5231926186, 14.0585174507, 0.471538710893, 0, 4
22.9830695924, 0.932246149451, 0.0405622993788, 0.0496991360599, 261.531095515, 3.36121297929, 0.078071973051, 0.0232273210689, 19.5937187226, 0.926732781219, 0.0472974423253, -1394.88133797, 7.81880095465, 60.3836282291, 18.4001655198, 0.496942081908, 0, 4
9.33916188826, 0.20766203347, 0.022235617709, 0.0613196184975, 239.021182866, 4.23924471625, 0.12484017207, 0.0294486825899, 4.395007939, 0.194710361807, 0.0443026189052, 998.731621514, -18.5461845561, -56.173140111, 18.0291577365, 0.249318948362, 0, 4
3.09793738284, 0.168478627346, 0.0543841293498, 0.0781765163812, 388.890646215, 1.6600718382, 0.0324878634408, 0.0195701551543, 1.43670109279, 0.13928301153, 0.0969464088451, -988.912881189, -81.8623696323, 9.94599280594, 46.2831296006, 0.271243041472, 0, 4
4.05123885812, 0.186253926523, 0.0459745606333, 0.0103422786133, 569.3581853, 1.83940278815, 0.0896899301172, 0.0487603534664, 2.21156163305, 0.0968330631757, 0.0437849263292, 1231.24213778, 178.810572209, -31.7923348765, 1.94974047351, 0.24644103208, 0, 4
22.9639472108, 0.115821924469, 0.00504364181845, 0.155176353037, 34.4830995251, 2.1522539032, 0.293052335466, 0.136160670928, 20.9829006274, 0.391212654352, 0.0186443552919, -137.739174601, -46.0791385313, 52.7224506597, 70.3125560239, 1.04064734095, 0, 4
