Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c),  Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c),  Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), DOCA (cm), Invariant Mass (GeV/c^2), Good Reco, Event Type
22.5434772028, 0.443479331886, 0.0196721795798, 0.0590324822537, 2.22770387266, 13.5766554232, 0.344095478345, 0.025344642522, 8.97603632746, 0.411043422297, 0.0457934223194, -537.318654124, 131.825641001, 21.8265241378, 0.11017426649, 0.696351811448, 1, 1
51.322938076, 0.32651578003, 0.00636198534751, 0.0306462555705, 0.336050533669, 9.44067882883, 0.292793069903, 0.0310139848216, 41.881080758, 0.0985648226361, 0.00235344506045, 18.9893367197, -20.8724954088, -41.286369647, 0.582356169691, 0.700938312513, 1, 1
16.9001782719, 0.649157051172, 0.0384112546465, 0.0839465419371, 0.476237993628, 11.6226297643, 0.561400137023, 0.0483023333278, 5.29092922274, 0.352042445315, 0.0665369787602, 1175.27980586, -51.0723610515, -318.745355943, 0.301604576568, 0.70513022803, 1, 1
18.5529498755, 0.404091896129, 0.0217804661167, 0.0958772516454, 1.406674822, 15.8024808684, 0.537997240714, 0.0340451126121, 2.76130734862, 0.182540259481, 0.0661064620613, 648.938179377, -134.942865422, 106.998042158, 0.0770842726116, 0.70610660798, 1, 1
48.8842584634, 0.894020433045, 0.0182885137495, 0.0276274901115, 0.430221605552, 17.6582076995, 0.32682902879, 0.0185086184483, 31.199331266, 0.767414091019, 0.024597132691, 580.612487534, -27.6305520653, -140.576810384, 0.458085451403, 0.698473670166, 1, 1
42.39283606, 0.513977261325, 0.0121241537272, 0.0389991922399, 0.439772457311, 6.61830764995, 0.137916914011, 0.020838697943, 35.7908494643, 0.651424572524, 0.0182008692801, 5.26129829375, 83.7333686832, -26.0424678405, 0.2338725786, 0.70615302323, 1, 1
62.7985429421, 0.916153270197, 0.0145887663515, 0.0236866053101, 0.50148566196, 13.8790365179, 0.41713772866, 0.0300552367682, 48.8414603473, 0.581025561491, 0.0118961545654, -1899.6216945, 77.8290655056, -7.99288997017, 1.14276418154, 0.697413062035, 1, 1
33.1926011269, 0.575915440592, 0.0173507173599, 0.0452297852028, 0.659356526979, 7.49904335034, 0.232440062664, 0.0309959619921, 25.6722533974, 0.612542217351, 0.0238600876934, 2096.67225106, 113.79908588, 115.965389805, 0.143406835488, 0.70181814619, 1, 1
55.0498733017, 0.0993752449723, 0.00180518571637, 0.0330205414715, 20.8983672102, 46.8875439013, 0.259187869882, 0.00552786195044, 6.80343997796, 0.188438154622, 0.0276974817493, 246.514708288, -25.8630019307, 12.847641486, 5.91420187265, 0.67029635258, 1, 1
28.9106026987, 0.527086952126, 0.0182316141113, 0.0509949687942, 2.58525260348, 7.17393262629, 0.381161131565, 0.0531314066385, 21.7430565764, 0.270619218335, 0.0124462362219, 1563.83478993, -139.897884294, -80.5369814852, 0.0764862386431, 0.70650089259, 1, 1
29.8275708261, 0.592215304128, 0.0198546273708, 0.0471664740514, 1.17241160396, 19.827402173, 0.683783822396, 0.0344868085304, 10.0051564637, 0.173189188645, 0.0173099930295, -1480.28026911, 87.5074645632, 72.2660401989, 0.507505878862, 0.709559194088, 1, 1
19.7341959754, 0.510044344147, 0.0258457119197, 0.0761024009044, 2.25152057542, 4.2642581966, 0.145265191679, 0.0340657589157, 15.4795591045, 0.653443735679, 0.042213329932, 175.905729314, -32.6939735955, 186.519172821, 0.973753384743, 0.697592304349, 1, 1
48.3938739361, 0.430870360182, 0.00890340708725, 0.0302899280996, 0.312732949319, 34.9261306032, 0.241144605681, 0.00690441802502, 13.5028232599, 0.387084432256, 0.0286669257834, -872.418727183, -3.52844235243, -56.7896703295, 0.415870228385, 0.705396093137, 1, 1
21.9791817327, 0.371966088432, 0.0169235639868, 0.0668154758928, 1.06468989355, 5.13498111029, 0.253153706014, 0.0492998319909, 16.8573246943, 0.438173244539, 0.0259930476801, -1746.31524663, -46.7502631011, 78.9231936762, 1.27138080625, 0.696573717026, 1, 1
29.8036682241, 0.565861411218, 0.018986300846, 0.05951843923, 1.43546121045, 2.143506408, 0.0835788127072, 0.0389916318398, 27.6630200016, 0.633990490691, 0.0229183397422, -139.441666477, -16.0090350132, -134.345295752, 0.31302137704, 0.701812516143, 1, 1
25.3381328104, 0.171125985137, 0.00675369358972, 0.0518876698355, 1.6976410281, 10.9894331087, 0.395312706783, 0.0359720745257, 14.3570344776, 0.230131777864, 0.0160292000569, 979.02391259, -46.0611727609, -33.7106051939, 0.0858454209583, 0.699817624685, 1, 1
