Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c),  Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c),  Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), DOCA (cm), Invariant Mass (GeV/c^2), Good Reco, Event Type
18.3985589856, 0.384778773615, 0.0209135277342, 0.0457240007613, 96.018900835, 3.20292223464, 0.102941605259, 0.0321399015392, 15.198423545, 0.394995930542, 0.0259892698327, -1541.02182061, -85.515210901, -68.3547681706, 0.0874123418093, 0.435258269836, 2, 1
12.0288580678, 0.324617021112, 0.0269865201902, 0.0527040530389, 177.174090857, 3.55620580133, 0.225643827229, 0.0634507224371, 8.47617334108, 0.108488425581, 0.0127992221508, -528.58362758, 46.281248069, -281.59090616, 0.0333109003608, 0.386163900524, 2, 1
39.2473430537, 1.07660541676, 0.0274312942735, 0.018271326578, 45.0141139011, 16.0764484915, 0.297832430268, 0.0185260090514, 23.1725035387, 0.793620170413, 0.0342483568547, -1615.28296127, -7.44888364716, -123.42269025, 0.0273469771566, 0.429608071619, 2, 1
44.8277203909, 0.829988314603, 0.0185150685193, 0.00490604355369, 18.076470742, 5.86713201858, 0.0913977824462, 0.0155779317999, 38.9591852369, 0.740284032025, 0.0190015275608, 1071.91970695, 77.720844328, -128.053478281, 0.0146025488633, 0.336457422567, 2, 1
11.8716258812, 0.107869872097, 0.0090863604679, 0.0452423726122, 178.720761503, 4.55765627334, 0.106768803486, 0.023426251802, 7.32248827864, 0.176120099342, 0.0240519469121, -1252.44514435, -110.950646596, -76.1262388689, 1.65958667772, 0.358403801402, 2, 1
9.42054120406, 0.427313968569, 0.0453598110037, 0.0574492045994, 188.029510018, 1.80216076683, 0.0243101561316, 0.0134894492095, 7.622208547, 0.426263026768, 0.0559238210473, -2052.75482978, -19.9390734876, 42.7820888906, 7.26116621117, 0.358361773805, 2, 1
30.7423750705, 1.11836915198, 0.0363787491831, 0.0289775086039, 81.8783466078, 4.75834037933, 0.286346462775, 0.0601778014913, 25.985164507, 0.834838606739, 0.0321275090067, 1826.43915071, -145.930073438, -378.170579323, 0.0221504047356, 0.446179749192, 2, 1
8.61926433719, 0.106442429864, 0.0123493636695, 0.0825890813545, 225.429577412, 4.38340369937, 0.195764440819, 0.0446603722234, 4.24319606698, 0.175618886166, 0.0413883505249, -1081.78614639, -34.9454545697, 217.435048598, 0.0105583348969, 0.434014054289, 2, 1
14.9126138625, 0.60512023468, 0.0405777444693, 0.00719281039638, 155.459904171, 4.9189134796, 0.19998033839, 0.0406553884753, 9.99441747064, 0.407375442544, 0.0407602988109, 1299.0051023, -45.9282488395, 236.978676833, 0.0934177730697, 0.255854115292, 2, 1
29.5304829059, 0.527807843287, 0.017873322457, 0.00861845597559, 43.4788435241, 4.67342832834, 0.0941093713266, 0.0201371166336, 24.8572938606, 0.441322667084, 0.0177542523156, -2025.15381965, -68.8662970099, 84.5391590634, 0.287428984484, 0.319885755723, 2, 1
44.0268439618, 1.13481611026, 0.025775549827, 0.0162208761593, 57.2231722152, 27.3849915983, 0.63541177321, 0.0232029201444, 16.651368734, 0.535680105648, 0.0321703347157, 520.824072221, 155.988293771, -44.1584081472, 0.900191688449, 0.435147436506, 2, 1
14.4695274956, 0.610922187618, 0.0422212949113, 0.0175668145332, 162.66479488, 5.91651200498, 0.259983812239, 0.0439420746582, 8.55538085894, 0.36347167338, 0.0424845695795, -1217.89883511, 113.218906964, -211.209115628, 0.869060729917, 0.275205843284, 2, 1
36.436866742, 0.725573336173, 0.0199131649082, 0.00711828396118, 78.0923349764, 10.6311907354, 0.264622052509, 0.024891101956, 25.789342734, 0.460662191699, 0.0178625022146, 1219.33221911, -164.322250077, 174.556837031, 0.433490598984, 0.281280870993, 2, 1
26.2029148858, 0.50851296872, 0.0194067328362, 0.0132798554928, 41.7344863157, 9.09869137694, 0.248094383678, 0.0272670402149, 17.1072954811, 0.266477346574, 0.0155768249206, -2275.82227317, -29.5990208991, -129.509125971, 1.19973683769, 0.298983284586, 2, 1
5.09026080201, 0.160658254258, 0.0315618905409, 0.0728597945182, 454.8023889, 3.38422015022, 0.0457180583273, 0.0135091856611, 1.70953618767, 0.13372740027, 0.0782243752631, -349.587845143, -141.601906722, -225.435262729, 3.43205607658, 0.324550969244, 2, 1
22.5477660242, 0.665976303933, 0.0295362433342, 0.00165692278466, 100.64154755, 11.5482251335, 0.35023139917, 0.030327725267, 11.0021466384, 0.315902184381, 0.02871277713, 1093.1294889, 142.052278715, 30.1252197479, 0.41202160073, 0.249059490454, 2, 1
4.4219434496, 0.311839695164, 0.0705209595551, 0.10593289351, 680.428102724, 1.31699021446, 0.0257958170971, 0.0195869466713, 3.11058148324, 0.314471465701, 0.101097324534, 831.322031275, -8.74440444123, -207.321747152, 1.78733947556, 0.333851677877, 2, 1
23.51547641, 0.0142689265129, 0.000606788748999, 0.031907084702, 127.382171195, 4.65118905213, 0.120925976332, 0.025998938116, 18.8641489275, 0.111791812282, 0.0059261519145, 2413.07224893, -132.557631505, 13.3503698251, 0.0797987824651, 0.413167104025, 2, 1
17.4217426667, 0.439518887233, 0.0252281815684, 0.057556592143, 89.9640203826, 3.6592803058, 0.143271499156, 0.0391529172905, 13.7718206679, 0.456146621035, 0.0331217369174, -1712.82804965, 56.6720189504, -94.3039754093, 3.1796904354, 0.496124403655, 2, 1
7.02188720743, 0.268618816801, 0.0382545046461, 0.0978435695571, 282.325949041, 4.63300052455, 0.0383868401905, 0.0082855246804, 2.39647269289, 0.244840863612, 0.102167182767, 2204.93868245, 193.787122605, 300.107432193, 0.149317580206, 0.424419065148, 2, 1
8.40694090113, 0.334606332763, 0.0398011995919, 0.0729187788062, 352.263973065, 1.34121060074, 0.0298066220524, 0.0222236701946, 7.06912107831, 0.364900239209, 0.0516188979036, 1884.61055708, 67.2036399332, -162.619480313, 4.53895604083, 0.381973891174, 2, 1
10.0782639891, 0.705291208557, 0.0699814183595, 0.0735450761038, 285.290401138, 3.047995282, 0.168615304176, 0.0553200673149, 7.0382053315, 0.602552105044, 0.0856116121459, 1580.56246627, 31.5491452771, 330.559589721, 0.774629394527, 0.424285662149, 2, 1
9.69230213394, 0.203564627644, 0.0210027117223, 0.0859510820621, 238.480799757, 0.555010651544, 0.0334143585449, 0.0602048959816, 9.13929419276, 0.236702335708, 0.0258994109081, 1913.74720161, 168.67120043, 19.4988713308, 1.1586776065, 0.501573826877, 2, 1
17.7042880101, 0.0228124776852, 0.00128852838771, 0.0385038342482, 170.582798752, 4.62771284357, 0.125760777317, 0.0271755792912, 13.0800426492, 0.148186858209, 0.0113292335647, 1532.92109674, 102.159535074, 122.411862528, 0.04535398877, 0.398586006767, 2, 1
17.2773582976, 0.541677611157, 0.0313518769379, 0.0683436004914, 55.974895838, 1.25995700789, 0.0792404978966, 0.062891429946, 16.0218726229, 0.529171897179, 0.033028092885, 1771.82270729, -30.3753455829, 225.06934438, 0.364936785308, 0.517608340918, 2, 1
24.0744059828, 0.0419970190735, 0.00174446751058, 0.0443009461185, 28.9443844601, 3.15144762953, 0.123709125144, 0.0392546980584, 20.9323042955, 0.110963274315, 0.00530105394745, 783.48342557, -25.0773653651, -4.0848110613, 0.51179002237, 0.486417938921, 2, 1
49.5430328639, 0.0611364040309, 0.00123400608515, 0.0133268140792, 22.8401999084, 36.4754295392, 0.0844869872049, 0.00231627120701, 13.0638160976, 0.144040516734, 0.0110259143009, -1878.48144993, 18.0196498466, 8.50834718696, 0.253341364123, 0.416917498742, 2, 1
14.9170526722, 0.232944179851, 0.0156159654973, 0.015973443509, 90.9950621544, 3.18590993236, 0.0736509321841, 0.0231177069496, 11.7307804078, 0.174147333657, 0.0148453323312, 260.670510829, -67.1310017343, 27.5689730554, 0.610586220129, 0.294258197218, 2, 1
24.1906602282, 0.128474826112, 0.00531092681636, 0.0182834453564, 55.7694721808, 5.20494092618, 0.0808752547976, 0.0155381695863, 18.9859652117, 0.122441905374, 0.00644907456685, -437.065890159, 2.95245195465, 38.2515356911, 0.245746664981, 0.331220368278, 2, 1
33.1533645572, 0.428127634233, 0.0129135501012, 0.0331675813504, 30.2196025185, 9.5676541538, 0.108504815445, 0.0113407961556, 23.5908043567, 0.527374036842, 0.022355068054, -1157.29775677, -66.180933408, -35.4107314285, 0.608524068493, 0.56135451615, 2, 1
90.611196954, 0.739723391221, 0.0081637084167, 0.0104255412505, 19.5860387366, 11.1676000179, 0.0886446150792, 0.00793766027947, 80.7718929128, 0.76300403167, 0.00944640523027, 2133.370535, -57.5122609131, -1.80669855512, 4.19008481276, 0.431899478603, 2, 1
26.4734307517, 0.220079626523, 0.00831322651708, 0.0316387098678, 79.3785112222, 5.12677446292, 0.10383096212, 0.0202526877027, 21.3484933093, 0.28720261986, 0.0134530627384, 1366.01444471, 35.8204935037, 25.4922966866, 0.0445014242958, 0.437447028585, 2, 1
42.2546357379, 0.176428344129, 0.00417536066867, 0.0105759383764, 70.0997170779, 5.18994769984, 0.0339008347354, 0.00653201856666, 37.0742824904, 0.194752829242, 0.0052530437856, 1407.92980097, -50.0367669067, 1.77241041015, 0.147446542768, 0.367129041203, 2, 1
31.9079129479, 0.660977951683, 0.0207151734669, 0.0169385569276, 10.3526221086, 11.7740676147, 0.123535439784, 0.0104921632716, 20.1345086637, 0.540793481539, 0.0268590354288, 1288.30178112, -109.918197157, 124.846244154, 0.0183721552856, 0.359439163684, 2, 1
63.1911581983, 0.841676456801, 0.0133195288835, 0.00333543268642, 11.5562450998, 12.1473082757, 0.163943432499, 0.0134962766053, 50.9188707028, 0.680603521447, 0.0133664300102, -1842.18438642, -0.44867599024, -60.9015303467, 0.548256935055, 0.298444392198, 2, 1
19.9296835201, 0.411951268487, 0.0206702363373, 0.0172930552126, 147.227733655, 2.8611108299, 0.0536248535592, 0.0187426691056, 17.0681916988, 0.375662666667, 0.0220095176628, 1329.62388768, -183.564033739, -4.42676341197, 0.704387744396, 0.338971129434, 2, 1
10.3617261401, 0.32943133671, 0.0317930943414, 0.0519916991073, 230.758799757, 3.06692111554, 0.0674648434638, 0.021997580284, 7.29805366604, 0.328734639458, 0.0450441521124, 599.507364768, -7.98901068124, 27.8034475594, 0.482347980912, 0.355020391965, 2, 1
18.9279326666, 0.231400975244, 0.012225369739, 0.0580931796657, 53.9913775748, 10.6377719283, 0.399041945728, 0.0375117974345, 8.2993792656, 0.17246975232, 0.0207810423889, -1218.56527534, -70.2384736015, -106.367932993, 0.682185197354, 0.601440835656, 2, 1
7.48213078036, 0.436876289282, 0.0583892880393, 0.0590862298773, 328.522536362, 0.712055617955, 0.0153267866881, 0.0215247043933, 6.77113237825, 0.430874951556, 0.0636341054179, 6.16555758834, 116.227458215, -178.568137158, 1.70749360704, 0.393676357824, 2, 1
21.1459176035, 0.810624886445, 0.0383348172279, 0.0152671938048, 96.5575815553, 6.42083854184, 0.178381271354, 0.0277816160914, 14.7261484021, 0.632435136417, 0.0429464052071, 583.110974776, -109.807011939, 286.432441719, 0.612891242737, 0.294475015419, 2, 1
19.8822384361, 0.692626406832, 0.0348364400245, 0.0744808401952, 55.5330152044, 2.90369833675, 0.123475389547, 0.0425234908132, 16.9848053217, 0.743680659005, 0.043785056403, 2100.8197534, -118.370980012, 360.433906332, 0.558485051167, 0.611486534273, 2, 1
12.0418155982, 0.104133737007, 0.00864767743357, 0.044018538301, 210.130389809, 7.71049467324, 0.0837963921935, 0.0108678360786, 4.33354656857, 0.152493524686, 0.0351890818002, 2263.92296888, -164.729187551, 13.7948036926, 0.107909860228, 0.369840467227, 2, 1
8.35814477631, 0.322645220831, 0.0386024924748, 0.0933914008549, 327.296911522, 1.30386900264, 0.0527511652462, 0.040457411856, 7.05907052934, 0.374858707963, 0.0531031254617, 1045.70225694, -25.8384803404, 12.4138470714, 0.183308892241, 0.418142984719, 2, 1
19.2440017456, 0.582202895199, 0.0302537332357, 0.0544700199741, 100.378876323, 3.05637279727, 0.0610294996527, 0.019967950149, 16.1910488722, 0.623520315894, 0.0385101867592, 1640.65848146, 128.126167333, 215.090214813, 0.0975964793666, 0.490275177598, 2, 1
27.5877316762, 0.605206525776, 0.0219375240009, 0.0420563923814, 46.5762088128, 8.14232970306, 0.108665595856, 0.0133457621858, 19.4519893133, 0.653854874153, 0.0336137792192, -1591.54081801, 66.5903773414, 89.8530989124, 0.405368631144, 0.587729346489, 2, 1
8.70615753437, 0.112010330853, 0.0128656448509, 0.0327846902163, 130.970756009, 4.65061210826, 0.072727991101, 0.0156383696184, 4.05665916344, 0.103327810575, 0.0254711590034, 1089.15360917, 59.0059363105, -137.038079942, 0.0497892073797, 0.288090673316, 2, 1
17.1773845572, 0.691492108321, 0.040255960156, 0.00447398511905, 121.941303409, 5.04285917694, 0.218037017433, 0.0432367848839, 12.1345960916, 0.473575168854, 0.0390268588487, -583.162201453, 80.4786103048, 121.451334166, 0.0801072512723, 0.258501545473, 2, 1
19.1055344509, 0.418041139812, 0.0218806304993, 0.026174954099, 97.1296376203, 3.15348800593, 0.061628144621, 0.0195428504897, 15.9530967955, 0.393883477612, 0.0246900951371, -1061.91321793, -51.5715358642, 154.595938565, 0.81230630429, 0.353955004281, 2, 1
17.7537565738, 0.484429577921, 0.0272860324466, 0.036759893666, 92.1359199417, 2.31849221382, 0.133264326005, 0.0574788758017, 15.4365337887, 0.35742689622, 0.0231546084836, 1802.44876656, -8.98210604469, 305.718283109, 0.0381287653058, 0.395193816858, 2, 1
28.2038493411, 0.567214866235, 0.0201112571328, 0.0184157925014, 60.4040383879, 4.77460937245, 0.128157408548, 0.0268414436765, 23.4176672779, 0.467270460001, 0.0199537577529, 2467.11489088, 95.800798328, -222.96269588, 0.0214985793422, 0.356571286394, 2, 1
36.8690299179, 0.172946395734, 0.00469083119678, 0.0148625192734, 60.6022760692, 20.8966481233, 0.138024085752, 0.00660508254424, 15.9728705757, 0.174173646416, 0.0109043421838, 1653.86212542, -65.4407230608, 15.5149255269, 0.102304859627, 0.372456839319, 2, 1
54.3062642238, 0.439225724342, 0.00808793848408, 0.0166501640038, 52.603158069, 14.2783385595, 0.225923617044, 0.0158228225295, 40.1145659042, 0.340701172592, 0.00849320352627, 1546.65727862, -58.2643930245, -70.7279560515, 0.108045741795, 0.476335941965, 2, 1
8.77350068101, 0.453188426473, 0.0516542305005, 0.0382686840074, 183.840312982, 5.20767479345, 0.193987742479, 0.0372503564784, 3.60360884561, 0.255995515772, 0.07103865229, 1116.31185954, -175.039677732, -206.767869307, 21.8175783662, 0.34279238045, 2, 1
15.0419097349, 0.481599297367, 0.032017164433, 0.0265261853909, 143.630802397, 5.07431474944, 0.0739521777979, 0.0145738255212, 9.9681860745, 0.408094516345, 0.0409396968811, -1259.60017693, 4.0979636364, 50.8547244143, 1.85216592855, 0.313327734251, 2, 1
12.921451156, 0.272554036753, 0.0210931445286, 0.0396483979612, 231.67806832, 5.46354773146, 0.0937083248977, 0.0171515523436, 7.46102716417, 0.260559246, 0.0349227043766, 913.745781535, 157.205305127, 107.550983774, 0.161499793981, 0.35226094441, 2, 1
42.5251141627, 0.203924019707, 0.00479537853624, 0.00815033093433, 70.2230754571, 8.46186072856, 0.024234411556, 0.00286395774327, 34.0619965138, 0.21514305206, 0.00631621966062, 1112.19215678, -54.7004693865, 1.28285982439, 0.0937625493201, 0.31544297438, 2, 1
79.4017248631, 0.328743903894, 0.00414026149257, 0.00597234895005, 39.0232418976, 21.3495263373, 0.142946849819, 0.00669555134669, 58.0860943602, 0.236355428083, 0.00406905354348, 2120.47155481, -41.409417702, -57.9527560535, 0.0238957285528, 0.334601722567, 2, 1
27.1854482018, 0.634429165767, 0.0233370868509, 0.0317459235582, 77.4033332379, 4.49438599522, 0.0144533177026, 0.00321586034622, 22.6906945516, 0.648480089405, 0.0285791203054, 42.4532746456, 27.3342023059, -88.8093339395, 0.699855100118, 0.439691554515, 2, 1
19.857123135, 0.442969137624, 0.0223078204538, 0.0404302032552, 115.13820071, 10.3021251935, 0.150269363009, 0.0145862489717, 9.56007185068, 0.388467907282, 0.0406344129364, 186.547891308, 15.5651637504, -71.1560752355, 0.116208562823, 0.472145552184, 2, 1
35.8267003794, 0.392407491199, 0.0109529341816, 0.00469659662208, 39.7147910428, 11.7275431084, 0.121910579048, 0.0103952360628, 24.0997698397, 0.277935339211, 0.011532696829, -348.847852235, -33.2333280803, 76.6166694476, 0.142723894771, 0.263185926789, 2, 1
30.8615360914, 0.126231669998, 0.00409025881357, 0.00708978730411, 25.6055502301, 13.0195385526, 0.0896363535471, 0.00688475656681, 17.8412216666, 0.0703870859802, 0.00394519429754, -1018.77408253, 3.58275937888, 48.405014681, 0.159753860884, 0.267876557049, 2, 1
23.9818251923, 0.015854716684, 0.000661113845877, 0.0247237241827, 117.515359768, 5.97805891362, 0.107126898295, 0.017920013811, 18.00488908, 0.122528074568, 0.00680526683747, 1667.24708627, -16.4191466952, -110.830502378, 0.0410642086975, 0.369632759649, 2, 1
43.7987727603, 0.186375090625, 0.00425525828419, 0.0101705470589, 32.0751086537, 16.7921939569, 0.153924630504, 0.00916643953127, 26.990756905, 0.110754111249, 0.0041034088684, -1416.65482126, -54.3102309289, -5.83133188713, 0.701237744199, 0.326621028521, 2, 1
8.34932937243, 0.395877940456, 0.0474143398586, 0.0950532913895, 203.818489328, 5.61999954729, 0.44100458916, 0.0784705737873, 2.73641942386, 0.045185032196, 0.0165124658165, -1872.87759035, 32.806907823, 42.6380377155, 2.18269806647, 0.449103415794, 2, 1
4.27517856412, 0.442026080556, 0.103393594894, 0.0994539329448, 825.732331125, 1.28320794935, 0.0715106963435, 0.0557280652598, 2.98932808219, 0.388572237821, 0.129986480954, 2234.99218867, 185.305644346, 331.792386886, 2.69177934244, 0.320485609686, 2, 1
34.0118776241, 0.318981391868, 0.00937852933004, 0.0134298601278, 57.5829289978, 5.88587438158, 0.116197057448, 0.0197416815098, 28.1200584832, 0.210580467957, 0.00748862126593, 1406.49145077, 68.0061949626, -107.595834799, 0.0683017184043, 0.343504099844, 2, 1
35.3892702172, 0.327674174417, 0.0092591390669, 0.00454470229682, 28.0844018545, 3.47914871055, 0.0277049915296, 0.00796315243601, 31.9180819263, 0.302298086802, 0.00947106055747, -1937.42107707, 3.17311704614, -43.9469806936, 2.27257749768, 0.370800928891, 2, 1
38.8045912848, 0.3776782545, 0.00973282392613, 0.0303568848863, 34.2236739809, 28.8158029003, 0.492134673637, 0.0170786382507, 9.9917010313, 0.14480168064, 0.0144921950913, -161.9638852, -46.8743778707, 90.3661023918, 1.32456990362, 0.596333038713, 2, 1
11.1777414913, 0.172207302472, 0.0154062699165, 0.0796896871815, 86.8306582306, 5.81952638571, 0.311307736742, 0.0534936550002, 5.36723960068, 0.141231099153, 0.0263135447009, -1125.44161679, -34.1088199159, 142.440912669, 0.0574265302509, 0.51023156215, 2, 1
53.1815783943, 0.749892025025, 0.014100597381, 0.00191709872521, 5.95422937304, 11.005405723, 0.167905860015, 0.0152566715159, 42.1929957891, 0.582465266959, 0.0138047857486, 589.932820734, -112.992640008, -10.07663259, 0.202355595292, 0.283072972694, 2, 1
38.0897033211, 0.361763725635, 0.00949767769482, 0.00787937980859, 25.4077398711, 3.52941460164, 0.0265500254072, 0.00752250115213, 34.5653170975, 0.344395053262, 0.00996360173092, -583.714273529, -13.9063118876, -50.7687948662, 0.532572797021, 0.386734875429, 2, 1
