Mother Total Momentum (GeV/c), Mother Transverse Momentum (GeV/c), Mother Fraction of Transverse Momentum, Opening Angle (rad), Impact Parameter (cm), Daughter1 Total Momentum (GeV/c), Daughter1 Transverse Momentum (GeV/c),  Daughter1 Fraction of Transverse Momentum, Daughter2 Total Momentum (GeV/c), Daughter2 Transverse Momentum (GeV/c),  Daughter2 Fraction of Transverse Momentum, Decay Z (cm), Decay X (cm), Decay Y (cm), DOCA (cm), Invariant Mass (GeV/c^2), Good Reco, Event Type
53.2415676245, 1.44496924885, 0.0271398704682, 0.0161634392794, 117.502625786, 41.2367357301, 1.03982741609, 0.0252160457824, 12.1334353652, 0.433588585201, 0.0357350224525, -2420.05254493, 8.21365383067, -10.0821937658, 0.729914282948, 0.491374247675, -1, 4
19.0973068565, 0.608527193512, 0.0318645554624, 0.017566293443, 142.307862639, 12.1334349345, 0.433588569809, 0.0357350224525, 6.96176732468, 0.190231835883, 0.0273252217448, -2283.11438299, 9.90731815379, -11.8629506798, 2.1008897026, 0.33123106475, -1, 4
2.87957310345, 0.22036572827, 0.0765272213462, 0.0430885355256, 575.086583493, 2.03424045627, 0.18124352792, 0.0890964130431, 0.8452687217, 0.0390987942685, 0.0462560523828, -2329.21541525, -22.4700914217, 199.587847595, 18.650838616, 0.238761840151, -1, 4
11.991372251, 1.00106329352, 0.0834819629125, 0.0980670843743, 551.981115877, 0.219881472449, 0.0218825846641, 0.0995199114339, 9.37422358875, 0.779974783455, 0.0832042009741, 1561.52537764, -195.557647019, 190.659540425, 185.652281236, 0.185457465684, -1, 4
1.18127913319, 0.192017490118, 0.162550480003, 0.199058629621, 1599.71573751, 0.662224992008, 0.0739748651079, 0.111706543849, 0.524484246657, 0.117011332156, 0.22309789646, 1519.35289339, 161.238354672, 80.5170330607, 13.3642484929, 0.303275408995, -1, 4
64.3295348224, 1.35319954039, 0.0210354317674, 0.0134481211163, 101.263593603, 45.638731996, 0.812249577053, 0.0177973738868, 18.7066723678, 0.553941695104, 0.0296119846552, -1931.08750508, 8.77142663826, 13.2904319584, 0.23147564599, 0.499305312139, -1, 4
17.6892488905, 0.523267034631, 0.0295810770638, 0.00757511835318, 126.377263986, 7.45557915018, 0.203302074226, 0.0272684482494, 10.2343265532, 0.322851383938, 0.0315459334096, -2326.89884163, 22.0529002778, -10.1887000554, 1.39503787455, 0.290201598468, -1, 4
24.7739977549, 0.670727069436, 0.027073832656, 0.041106318172, 152.696252873, 0.436620366847, 0.00659081823852, 0.015095077415, 23.5176745316, 0.682755302034, 0.0290315822305, -2466.87956419, -23.8669181951, 2.33155946027, 6.46645203629, 0.261709065091, -1, 4
13.6226911822, 0.648875651666, 0.0476319724927, 0.0813461792542, 221.170590242, 12.2206272632, 0.679899622748, 0.0556354111868, 1.40482293849, 0.0437020553145, 0.0311085860838, -2106.60866432, -32.9357756749, 7.23030913602, 10.8161910874, 0.495324328565, -1, 4
11.929892167, 0.0714767365557, 0.00599139837603, 0.0449550751805, 98.0331995737, 5.77720724522, 0.10462037793, 0.0181091613109, 6.18361285057, 0.168935497467, 0.0273198697185, -970.269137196, -89.2114278735, 36.7918773104, 33.9643453744, 0.352481801744, -1, 4
